timestamp,equipment_id,status,downtime_reason,duration_min
2024-01-01 00:00:00,LINE-A-01,Running,,220
2024-01-01 03:40:00,LINE-A-01,Stopped,Setup,14
2024-01-01 03:54:00,LINE-A-01,Running,,309
2024-01-01 09:03:00,LINE-A-01,Stopped,Maintenance,82
2024-01-01 10:25:00,LINE-A-01,Running,,159
2024-01-01 13:04:00,LINE-A-01,Stopped,Maintenance,10
2024-01-01 13:14:00,LINE-A-01,Running,,199
2024-01-01 16:33:00,LINE-A-01,Stopped,Breakdown,25
2024-01-01 16:58:00,LINE-A-01,Running,,250
2024-01-01 21:08:00,LINE-A-01,Stopped,Maintenance,55
2024-01-01 22:03:00,LINE-A-01,Running,,270
2024-01-02 02:33:00,LINE-A-01,Stopped,Maintenance,61
2024-01-02 03:34:00,LINE-A-01,Running,,166
2024-01-02 06:20:00,LINE-A-01,Stopped,Breakdown,73
2024-01-02 07:33:00,LINE-A-01,Running,,186
2024-01-02 10:39:00,LINE-A-01,Stopped,Setup,72
2024-01-02 11:51:00,LINE-A-01,Running,,224
2024-01-02 15:35:00,LINE-A-01,Stopped,Cleaning,35
2024-01-02 16:10:00,LINE-A-01,Running,,287
2024-01-02 20:57:00,LINE-A-01,Stopped,Cleaning,65
2024-01-02 22:02:00,LINE-A-01,Running,,150
2024-01-03 00:32:00,LINE-A-01,Stopped,Cleaning,66
2024-01-03 01:38:00,LINE-A-01,Running,,151
2024-01-03 04:09:00,LINE-A-01,Stopped,Quality_Issue,87
2024-01-03 05:36:00,LINE-A-01,Running,,311
2024-01-03 10:47:00,LINE-A-01,Stopped,Lunch_Break,48
2024-01-03 11:35:00,LINE-A-01,Running,,239
2024-01-03 15:34:00,LINE-A-01,Stopped,Breakdown,15
2024-01-03 15:49:00,LINE-A-01,Running,,254
2024-01-03 20:03:00,LINE-A-01,Stopped,Quality_Issue,71
2024-01-03 21:14:00,LINE-A-01,Running,,353
2024-01-04 03:07:00,LINE-A-01,Stopped,Maintenance,65
2024-01-04 04:12:00,LINE-A-01,Running,,180
2024-01-04 07:12:00,LINE-A-01,Stopped,Setup,52
2024-01-04 08:04:00,LINE-A-01,Running,,213
2024-01-04 11:37:00,LINE-A-01,Stopped,Quality_Issue,43
2024-01-04 12:20:00,LINE-A-01,Running,,226
2024-01-04 16:06:00,LINE-A-01,Stopped,Material_Change,49
2024-01-04 16:55:00,LINE-A-01,Running,,177
2024-01-04 19:52:00,LINE-A-01,Stopped,Cleaning,71
2024-01-04 21:03:00,LINE-A-01,Running,,346
2024-01-05 02:49:00,LINE-A-01,Stopped,Breakdown,81
2024-01-05 04:10:00,LINE-A-01,Running,,298
2024-01-05 09:08:00,LINE-A-01,Stopped,Material_Change,26
2024-01-05 09:34:00,LINE-A-01,Running,,238
2024-01-05 13:32:00,LINE-A-01,Stopped,Breakdown,33
2024-01-05 14:05:00,LINE-A-01,Running,,284
2024-01-05 18:49:00,LINE-A-01,Stopped,Setup,58
2024-01-05 19:47:00,LINE-A-01,Running,,225
2024-01-05 23:32:00,LINE-A-01,Stopped,Quality_Issue,88
2024-01-06 01:00:00,LINE-A-01,Running,,220
2024-01-06 04:40:00,LINE-A-01,Stopped,Maintenance,61
2024-01-06 05:41:00,LINE-A-01,Running,,135
2024-01-06 07:56:00,LINE-A-01,Stopped,Maintenance,55
2024-01-06 08:51:00,LINE-A-01,Running,,222
2024-01-06 12:33:00,LINE-A-01,Stopped,Material_Change,48
2024-01-06 13:21:00,LINE-A-01,Running,,126
